State,Electoral Votes,Biden,Trump
Alabama,9,0,9
Alaska,3,0,3
Arizona,11,11,0
Arkansas,6,0,6
California,55,55,0
Colorado,9,9,0
Connecticut,7,7,0
Delaware,3,3,0
District of Columbia,3,3,0
Florida,29,0,29
Georgia,16,16,0
Hawaii,4,4,0
Idaho,4,0,4
Illinois,20,20,0
Indiana,11,0,11
Iowa,6,0,6
Kansas,6,0,6
Kentucky,8,0,8
Louisiana,8,0,8
Maine*,4,3,1
Maryland,10,10,0
Massachusetts,11,11,0
Michigan,16,16,0
Minnesota,10,10,0
Mississippi,6,0,6
Missouri,10,0,10
Montana,3,0,3
Nebraska**,5,1,4
Nevada,6,6,0
New Hampshire,4,4,0
New Jersey,14,14,0
New Mexico,5,5,0
New York,29,29,0
North Carolina,15,0,15
North Dakota,3,0,3
Ohio,18,0,18
Oklahoma,7,0,7
Oregon,7,7,0
Pennsylvania,20,20,0
Rhode Island,4,4,0
South Carolina,9,0,9
South Dakota,3,0,3
Tennessee,11,0,11
Texas,38,0,38
Utah,6,0,6
Vermont,3,3,0
Virginia,13,13,0
Washington,12,12,0
West Virginia,5,0,5
Wisconsin,10,10,0
Wyoming,3,0,3
Total,538,306,232
