st,prop
04,0.5015228426395939
12,0.48335015136226034
13,0.5010121457489879
19,0.45816326530612245
26,0.5142276422764228
27,0.5363357215967247
32,0.5122699386503068
33,0.5372069317023446
37,0.4934010152284264
39,0.45888324873096453
42,0.5060728744939271
48,0.47160243407707914
55,0.5030549898167006
01,0.3711967545638945
02,0.4476987447698745
05,0.35802469135802467
06,0.6492842535787321
08,0.5693730729701952
09,0.6020304568527919
10,0.5959390862944163
11,0.9446153846153845
15,0.65
16,0.34123711340206186
17,0.5861365953109072
18,0.4183673469387755
20,0.42535787321063395
21,0.36826042726347913
22,0.40548780487804875
23,0.5468589083419155
24,0.6700819672131147
25,0.6714431934493347
28,0.41641337386018235
29,0.4215885947046843
30,0.4158110882956879
31,0.40245148110316653
34,0.5805471124620061
35,0.5552147239263803
36,0.6176470588235294
38,0.32817337461300317
40,0.330603889457523
41,0.5830753353973168
44,0.6061224489795918
45,0.44060913705583754
46,0.36550308008213556
47,0.3818737270875764
49,0.3928944618599791
50,0.6828512396694214
51,0.5514780835881753
53,0.5991735537190083
54,0.3021363173957274
56,0.27564766839378235
