st,retweet_count_x,retweet_count_y,percent
01,239,416,0.3648854961832061
02,33,43,0.4342105263157895
04,1726,862,0.6669242658423493
05,22,25,0.46808510638297873
06,20280,24990,0.4479787939032472
08,924,309,0.7493917274939172
09,1506,2283,0.3974663499604117
10,24,0,1
11,108930,81083,0.5732765652876383
12,11431,8929,0.5614440078585462
13,2344,1292,0.6446644664466447
15,82,323,0.20246913580246914
16,90,63,0.5882352941176471
17,6194,5002,0.5532332976062879
18,339,114,0.7483443708609272
19,196,46,0.8099173553719008
20,217,191,0.5318627450980392
21,348,504,0.4084507042253521
22,563,385,0.5938818565400844
23,1,6,0.14285714285714285
24,277,367,0.4301242236024845
25,3458,2685,0.5629171414618265
26,752,781,0.49054142204827134
27,737,270,0.7318768619662364
28,81,44,0.648
29,510,441,0.5362776025236593
30,33,5,0.868421052631579
31,47,41,0.5340909090909091
32,5438,2551,0.6806859431718613
33,8,8,0.5
34,220,146,0.6010928961748634
35,88,103,0.4607329842931937
36,175891,146649,0.5453308116822719
37,610,1022,0.3737745098039216
38,5,1,0.8333333333333334
39,3014,752,0.8003186404673394
40,89,151,0.37083333333333335
41,585,992,0.3709575142675967
42,4585,4582,0.5001636304134395
44,15,16,0.4838709677419355
45,59,61,0.49166666666666664
46,3,0,1
47,2590,2731,0.48675061078744597
48,22950,14828,0.6074964264916088
49,104,91,0.5333333333333333
50,14,29,0.32558139534883723
51,749,654,0.533856022808268
53,693,714,0.4925373134328358
54,4,2,0.6666666666666666
55,597,319,0.6517467248908297
56,1,0,1
NA,86,78,0.524390243902439
